"","Scenario","Payload"
"596","An underwater unmanned vehicle (ROV) was used to survey benthic habitat via video/imaging (RGB) and to collect bottom environmental measurements (temperature, salinity, pH, O₂) with physical/chemical sensors to define and map essential embryo habitat for market squid.","RGB"
"597","Use of a remotely operated vehicle (ROV) equipped with imaging (photography) to survey, photograph, and document deep-sea coral and sponge communities for ecological overview and taxonomic description.","RGB"
"598","Use of a remotely operated underwater vehicle equipped with an RGB camera to survey and map the distribution and abundance of soft coral species over a broad geographic and depth range.","RGB"
"599","An ROV-mounted camera was used to collect video footage for large-scale investigation of the distribution, diversity, and ecological preferences of living brachiopods in mesophotic and bathyal zones.","RGB"
"600","A remotely-operated underwater vehicle was used with optical imaging (RGB camera) to conduct in-situ surveys of deep-sea habitats and quantify fish species composition, abundance, and assemblage patterns across different physical and biological microhabitats.","RGB"
"601","A remotely operated underwater vehicle was used to conduct video transects to map the spatial and bathymetrical distribution of Halocynthia papillosa for assessing benthic–pelagic coupling and carbon/nitrogen sink capacity.","RGB"
"602","Video imagery acquired by the unmanned ROV Victor 6000 was used to analyze faunal assemblages and substratum dynamics on the hydrothermal vent edifice over a 14-year period.","RGB"
"603","Used a remotely operated vehicle to collect continuous video and still photographs of trawled and untrawled seafloor plots before and after trawling to assess habitat structure and biological communities.","RGB"
"604","ROV-mounted video used to observe and document the descent of tailings slurry down the seafloor slope","RGB"
"605","Oblique, quantitative video transects of bathypelagic fauna at depths of 1000–3500 m to assess community composition and biodiversity using an ROV-mounted camera.","RGB"
"606","A Remotely Operated Vehicle (underwater unmanned vehicle) was used to collect video (RGB imagery) of epibenthic communities on scour protection around offshore wind turbines to quantitatively assess differences in species composition, abundance, and community structure.","RGB"
"607","A Remotely Operated Vehicle was used to carry out video transects (RGB imagery) to identify and map marine animal forests (MAFs) along submarine canyons and assess how environmental factors drive their spatial distribution.","RGB"
"608","A remotely operated underwater vehicle was used to conduct video transects and high-resolution photogrammetric reconstruction to assess patterns of cold-water coral assemblages and wall complexity on deep-sea vertical habitats.","RGB"
"609","A remotely operated underwater vehicle was deployed to investigate habitat types, and a baited remote underwater video system was used to collect images of the fish community using RGB cameras.","RGB"
"610","Video footage from a remotely operated vehicle was used to survey benthic megafaunal communities on Schulz Bank across a depth gradient to identify distinct biotopes and assess community density and diversity.","RGB"
"611","The study used a remotely operated vehicle equipped with imaging (video/photography) to quantitatively assess marine litter and lost fishing gears on deep Mediterranean rhodolith beds.","RGB"
"612","ROV-mounted video was used to quantify marine litter abundance and assess its impact on benthic fauna in deep rocky bank habitats.","RGB"
"613","Deep‐diving remotely operated vehicles were used to collect specimens and record high-speed video data of Tomopteris swimming for kinematic analysis of metachronal paddling and body undulation.","RGB"
"614","ROV vehicle used to film and photograph Savalia savaglia specimens for presence, distribution, and habitat suitability modeling","RGB"
"615","A remotely operated vehicle equipped with video imaging was used to conduct transects for examining the distribution and abundance of benthic megafauna in gorgonian coral assemblages.","RGB"
"616","A small, inexpensive remotely operated underwater vehicle (ROV) was deployed to conduct roving-swim surveys at 12–94 m depths. An onboard RGB camera was used to capture imagery for documenting fish and algal species presence and characterizing mesophotic community structure across habitats, depths, and temperatures.","RGB"
"617","A remotely operated vehicle equipped with an RGB camera was used to collect video footage for analyzing the composition and distribution of marine litter on the seafloor, focusing on hydrothermal and non-hydrothermal areas of the Aeolian Archipelago.","RGB"
"618","The ROV vehicle equipped with an underwater stereo video system (RGB) was used to survey fish assemblages on offshore platforms, quantifying fish abundance, size, biomass, and economic value.","RGB"
"619","A remotely operated underwater vehicle equipped with video (RGB) was used to conduct surveys of reef and bottom habitats to assess the distribution and habitat use by age‐classes of Red Snapper.","RGB"
"620","ROVs equipped with downward-facing RGB cameras were used to collect images of marine organisms and habitats in deep and shallow areas off Tohoku post-earthquake for creating a large image dataset and occurrence records, and to serve as training data for automated organism extraction","RGB"
"621","Use of a Remotely Operated Vehicle equipped with an RGB camera to capture and analyze images for assessing distribution, coverage, and species associations of deep-sea cold-water coral reefs.","RGB"
"622","A remotely operated vehicle (ROV) equipped with an RGB camera was used to characterize the epibenthic community and substrate, and a towed and moored Acoustic Doppler Current Profiler (ADCP) (sonar) was used to characterize current patterns.","RGB"
"623","A remotely operated underwater vehicle (ROV) was deployed to conduct video surveys of the Schultz Massif sponge ground; the onboard camera provided RGB imagery to assess sponge density, diversity, and habitat structure.","RGB"
"624","A remotely operated vehicle (underwater vehicle) equipped with onboard cameras (RGB imaging) was used to conduct seafloor surveys and generate a time series to assess benthic megafaunal community structure and its response to extreme hypoxic events.","RGB"
"625","An ROV vehicle equipped with video (RGB) and physical/chemical sensors was used to measure oxygenation, temperature, and capture imagery for assessing biological zonation, community diversity, and sediment characteristics across depth transects on the ocean floor.","RGB"
"626","A GoPro camera was fixed under the side-scan sonar (Klein 3000) to capture continuous downward-facing RGB video, paired with acoustic sonograms, for non-destructive ground-truthing and mapping of Mediterranean marine habitats.","RGB"
"627","A remotely operated vehicle (ROV) equipped with an RGB camera was used to conduct fish censuses at depths of 40–80 m to assess species richness, density, abundance, and trophic ecology across varying disturbance levels.","RGB"
"628","In situ observation of hydrothermal vent fauna and microbial diversity at the Deyin-1 vent field using a remotely operated vehicle’s camera","RGB"
"629","ROV-mounted video footage was used to quantify the presence and abundance of marine species and conservation-listed features on offshore oil and gas pipelines.","RGB"
"630","Video footage from a remotely operated vehicle was used to survey and characterize benthic invertebrate assemblages and habitats on rocky reefs.","RGB"
"631","A remotely operated vehicle (ROV) was used to collect ~100 hours of video and 259 in situ digital images to document habitat and benthic fauna in deep-sea coral ecosystems.","RGB"
"632","The ROV (unmanned underwater vehicle) was used to collect dive video imagery (RGB) for georeferenced annotations of organisms and substrate types to characterize benthic habitat.","RGB"
"633","The ROV was used to collect high-resolution video imagery of deep-water corals and sponges to quantify their spatial distribution, size-frequency and recruitment, informing population connectivity analyses and marine protected area design.","RGB"
"634","A remotely operated vehicle was deployed to conduct video recordings (RGB imagery) over 13 km of transects between 10 and 210 m depth to assess marine debris abundance and its impacts on benthic fauna in the Tyrrhenian Sea.","RGB"
"635","An underwater remotely operated vehicle (ROV) was used to perform video surveys of the ice terminus and seafloor to obtain images of physical and biological processes.","RGB"
"636","The ROV was used to collect specimens from hydrothermal vent sites and its onboard video camera recorded in situ footage for behavioral and ecological observations of the new fish species.","RGB"
"637","The remotely operated vehicle was used to collect video imagery and CTD environmental data to characterize mesopelagic fauna and their relationships with environmental variables.","RGB"
"638","An ROV vehicle equipped with an RGB video camera was used for underwater surveys to determine coral size class distributions and a manipulator sampler was used to collect coral specimens for reproductive ecology analysis.","RGB"
"639","ROV was used to perform transects and observe deep-sea coral species distribution and community assembly; RGB imagery was used to document and identify benthic megafauna.","RGB"
"640","ROV-mounted RGB video was used to conduct transects for assessing mega-epibenthic abundance, composition, and diversity under varying bottom-trawling pressures.","RGB"
"641","An ROV (unmanned underwater vehicle) equipped with an RGB camera was used to collect live seafloor imagery to map the distribution of Leiopathes glaberrima, predict suitable habitat, and assess colony size and age structure for non‐invasive ecological and management studies.","RGB"
"642","The study used a remotely operated vehicle (ROV) to visually document jelly-C deposits and associated megafaunal benthic community through onboard imagery.","RGB"
"643","The ROV (underwater vehicle) was used to observe and record the distribution, depth distribution, orientation, and feeding behaviour of the jellyfish Periphylla periphylla in Norwegian fjords.","RGB"
"644","An ROV-mounted video camera was used to document seafloor habitats and megafauna over quantitative transects for biological characterization, habitat association analysis, and monitoring of benthic communities.","RGB"
"645","ROVs equipped with cameras were used to collect imagery of megafaunal seafloor assemblages at abyssal depths, enabling identification and long-term tracking of morphospecies over a 13-year period.","RGB"
"646","An ROV-mounted video camera was used to collect benthic video transects to identify substrate types and biotope categories for mapping deep-water coral and sponge habitats.","RGB"
"647","Remotely operated vehicle equipped with multibeam and sidescan sonar to map seafloor substrate, plus video/photographic (RGB) cameras and a grab sampler to survey habitat use by juvenile and adult redfish.","RGB"
"648","The ROV platform collected video footage (RGB imagery) to examine patterns in abundance and distribution of non-vent epibenthic megafauna on inactive hydrothermal vents.","RGB"
"649","A remotely operated underwater vehicle was deployed to record RGB video transects of benthic feeding grounds to assess the distribution of macrobenthic prey and overlap with walrus foraging areas.","RGB"
"650","Remotely operated vehicle used to collect video transects imagery for studying biodiversity, ecological and biogeographical patterns of benthic invertebrates","RGB"
"651","ROV-mounted camera video footage was used to characterize sessile invertebrates and fish communities across depths on an offshore production platform, evaluating biodiversity and habitat value for decommissioning decisions.","RGB"
"652","ROV-mounted video camera used to survey deep-water fauna, quantify abundance and assess behavioural reactions, compared with Agassiz trawl sampling.","RGB"
"653","ROV-mounted RGB video camera used to assess fish diversity and abundance along a subsea pipeline at 130 m depth during day and night.","RGB"
"654","The study used a remotely operated vehicle (ROV) as an underwater vehicle equipped with an RGB camera to conduct spatial and bathymetric surveys of sponge distributions and population structures, combined with in situ feeding experiments to quantify benthic-pelagic carbon coupling by two sponge species.","RGB"
"655","ROVs equipped with RGB video cameras were used to conduct video surveys of mesophotic and deep benthic habitats around Rapa Nui to describe the distribution, abundance, and associated fauna of whip black coral assemblages.","RGB"
"656","Use remotely operated vehicles to image the deep seafloor and observe chemosynthetic megafaunal communities at methane seep sites in Trinidad and Tobago at depths of 998–1,629 m.","RGB"
"657","A remotely operated vehicle was used to conduct high-definition video transects (RGB imagery) to capture in-situ images of deep-sea macroinvertebrate morphospecies for a comprehensive biodiversity inventory in the Galapagos Marine Reserve.","RGB"
"658","Video filmmaking by remotely operated vehicles during routine offshore inspections to assess the diversity and abundance of fishery target species on subsea wells and pipelines","RGB"
"659","ROV-mounted video (RGB imagery) was used to assess fish species richness and abundance and to quantify marine growth type, extent, and complexity along a subsea gas pipeline.","RGB"
"660","A remotely operated vehicle (ROV VICTOR 6000) was used to deploy and recover experimental cages at 2500 m depth and to collect photo and video imagery for assessing the exclusion of epibenthic megafauna and evaluating changes in sediment parameters over 2- and 4-year periods.","RGB"
"661","A remotely operated vehicle (ROV) was used to capture video imagery (RGB) to study, quantify, and collect deep-reef fish diversity and ecology in mesophotic and rariphotic zones of the Greater Caribbean.","RGB"
"662","ROV-mounted RGB imagery used to describe fish, invertebrate, and benthic communities on offshore oil and gas infrastructure to assess habitat value and inform decommissioning decisions.","RGB"
"663","Used a Remotely Operated Vehicle to collect high-definition video footage of submarine canyon rockwalls to investigate small-scale slope processes (spalling failures, talus deposits, bio-erosion) and assess geomechanical properties.","RGB"
"664","A remotely operated underwater vehicle (ROV) was used with an RGB video camera to survey transects in a soft-sediment deep‐sea environment, recording fish occurrence, invertebrate habitat-forming species, and substratum to analyze small-scale fish–habitat associations.","RGB"
"665","Use of a Remotely Operated Vehicle equipped with RGB imaging to map the distribution and demography of two deep-sea octocorals (Eunicella cavolini and Corallium rubrum).","RGB"
"666","The study used a remotely operated vehicle (ROV) as an underwater unmanned vehicle to acquire still imagery (RGB) transects for characterizing abyssal habitats and megafaunal communities, and employed the ROV’s multibeam echosounder (Sonar) to map microtopography for analyzing habitat and faunal distribution.","RGB"
"667","An autonomous rover (Zoe) deployed a daylight fluorescence imager to detect in situ fluorescence signals from biomolecules and fluorescent probes on surface and subsurface samples, alongside acquiring RGB context images to detect life in the Atacama Desert.","RGB"
"668","Underwater ROV vehicle used to collect video (RGB) footage to assess fish assemblages and colonising invertebrate habitats on offshore oil and gas wellheads across depth zones.","RGB"
"669","The untethered ROV vehicle was used to conduct detailed seafloor exploration and high-resolution video mapping of cold seep sites to characterize geological morphostructures and associated biological communities.","RGB"
"670","Platform is used to model insect vision on a flying robotic system; RGB camera captures visual input for optic flow analysis, motion detection, and navigation development.","RGB"
"671","An underwater unmanned vehicle (ROV) equipped with video (RGB) was used to observe giant appendicularians in midwater and document their feeding behaviors and mucus structures.","RGB"
"672","The stereo‐imaging AUV equipped with RGB cameras was used to map benthic habitats and quantify spatial and temporal patterns in sea urchin (Centrostephanus rodgersii) abundance across depths and during both day and night.","RGB"
"673","The robotic platform carries a hyperspectral camera for proximal scanning of deciduous and fertile parts of biological objects to detect phyto-diseases, assess fruit ripeness, and internal quality; and uses a Zed 2i stereo camera (RGB) for visual–inertial navigation during autonomous movement in an ecologically balanced zone.","RGB"
"674","The robot-mounted imaging device uses an RGB camera to automate invertebrate sample sorting, specimen identification, and biomass estimation.","RGB"
"675","The AutoWeed terrestrial robotic spot-spraying system uses real-time RGB imaging with a MobileNetV2 deep-learning model to detect and selectively apply herbicide to harrisia cactus, reducing operation time, herbicide usage, and cost.","RGB"
"676","The semi-autonomous underwater vehicle (SAUV) was used to conduct stereo-video transects for monitoring coral reef fish assemblages, assessing metrics such as biomass, species richness, density, size distributions, and diversity.","RGB"
"677","A swimmer constrained by a line unwinding from a central drum is used to collect underwater imagery (RGB camera) in a systematic spiral path for high-resolution 2D mosaics, 3D reconstructions, structural complexity measurements, and benthic diversity/cover estimates.","RGB"
"678","A robotic arm platform is used to detect and remove biological objects. The system employs an onboard camera (RGB) and laser (Lidar) as working tools for object detection and trajectory guidance, with navigation support from GPS tracking.","RGB"
"679","A submarine cabled observatory is used to provide continuous, real-time monitoring of hydrothermal vent intensity, chemical parameters, temperature, and imagery of biological communities at mid-ocean ridge volcanoes for comparative studies of seafloor formation.","RGB"
"680","A small unmanned aircraft system was used to collect high-resolution imagery for deriving centimeter-scale topography and water surface elevations, vegetation imagery (including vegetation-top elevation), and NDVI mapping to analyze groundwater–surface water exchange patterns.","Multispectral"
"681","Unmanned aerial vehicle equipped with a multispectral camera to acquire high‐resolution imagery for calculating vegetation indices and generating digital elevation models to estimate sediment connectivity and analyse interactions between hydrology, sediment transport, and vegetation.","Multispectral"
"682","UAV-mounted multispectral imagery was used with Structure-from-Motion algorithms to generate 3D point clouds of forest canopies for estimating canopy height and evaluating data quality under varying flight and imaging conditions.","Multispectral"
"683","The study uses a UAV (drone) equipped with a multispectral sensor to perform transect mapping and object-based image analysis of wetland vegetation communities, integrating UAV remote sensing with traditional in situ transect sampling to assess and map vegetation diversity and richness.","Multispectral"
"684","A drone equipped with a multispectral camera was used to capture high‐resolution imagery for computing vegetation indices to quantify and differentiate vegetation ground cover density in olive groves.","Multispectral"
"685","A Parrot Bluegrass drone equipped with a multispectral camera (Parrot Sequoia+) and an RGB camera (Zenmuse X5) was used to identify glacial outflow zones and determine meltwater turbidity values in front of Antarctic glaciers by mapping specific spectral bands.","Multispectral"
"686","UAV-mounted multispectral imaging was used to capture spectral features of water bodies to detect and map cyanobacterial blooms, improving detection accuracy in complex river scenes.","Multispectral"
"687","UAV-mounted multispectral and RGB sensors were used to identify and accurately map intertidal macroalgal communities, focusing on the canopy-forming species Ascophyllum nodosum with high spatial and taxonomic resolution.","Multispectral"
"688","High‐resolution UAV multispectral imagery (green, red, NIR bands) used to estimate leaf area index (LAI) via the PROSAIL model.","Multispectral"
"689","A UAV equipped with multispectral and digital (RGB) cameras was used to estimate maize aboveground biomass (AGB) and assess land damage caused by underground coal mining.","Multispectral"
"690","UAV-based multispectral imaging was used to collect canopy reflectance data from wheat plots to validate and apply a deep learning model for simultaneous retrieval of multiple crop traits (leaf area index, chlorophyll content, dry matter, water content) for precision agriculture and plant breeding.","Multispectral"
"691","UAVs equipped with RGB, multispectral and thermal sensors plus a water sampling device were used to create precise ecological maps, detect anomalous thermal zones, identify and census wildlife, build 3D models of geological formations, and sample dissolved chemicals in inaccessible or protected Antarctic areas.","Multispectral"
"692","UAV-based multispectral sensors were used to simulate channel reflectance and detect red imported fire ant (Solenopsis invicta) nests based on spectral differences in visible (Green, Red) and near-infrared bands.","Multispectral"
"693","UAVs equipped with RGB and six-band discrete wavelength multispectral cameras were deployed to assess intertidal and shallow subtidal marine macroalgae and classify habitats with high taxonomic resolution, showing improved accuracy with multispectral imaging.","Multispectral"
"694","A DJI Matrice 100 drone equipped with a Micasense Red Edge multispectral camera was used to evaluate soybean physiological processes and vegetation status in microplot trials via NDVI and NDRE indices to assess the influence of biologically active substances across growth stages, with laboratory analyses for comparison.","Multispectral"
"695","Multispectral cameras mounted on UAVs (drones) are used to acquire high-resolution imagery of coastal wetlands to capture environmental heterogeneity and classify plant community distribution using supervised machine learning classifiers (Random Forest vs KNN) with pixel- and object-based approaches.","Multispectral"
"696","UAV platform with multispectral sensor used to map and classify complex forest vegetation and wetland communities using high-resolution imagery and machine learning algorithms.","Multispectral"
"697","UAV multispectral remote sensing used to monitor and estimate soil salinity distribution and dynamics at different scales.","Multispectral"
"698","UAV platform used to capture RGB and multispectral imagery for image segmentation and machine-learning classification to map and identify the invasive dune plant Carpobrotus sp.","Multispectral"
"699","UAV multispectral imagery was used to build an inversion model for total suspended matter (TSM) concentration in urban water bodies, enabling real-time, efficient water quality monitoring; the NIR band proved highly sensitive to TSM.","Multispectral"
"700","Low-altitude drone flights equipped with RGB and multispectral sensors were used to capture imagery and apply object-based image analysis to detect, discriminate, and track individual seedlings among non-target grasses over time for monitoring plant performance and ecological restoration trajectories.","Multispectral"
"701","UAV‐mounted multispectral imagery was used to monitor walnut fruit forests by assessing Sentinel-2 NDVI sensitivity to subpixel vegetation and applying a bias correction to improve vegetation index accuracy.","Multispectral"
"702","High-resolution multispectral data were captured by the UAV to spatially classify and map plant communities and weed species in a semi-natural grassland using a CNN.","Multispectral"
"703","UAV-mounted multispectral imagery used to acquire spectral bands for optimized inversion of alpine grassland fractional vegetation cover.","Multispectral"
"704","Thermal infrared and multispectral sensors mounted on UAVs were used to quantify the local environmental impacts of a large-scale photovoltaic power plant, including monitoring soil temperature, vegetation growth, biological soil crust development, and spatial variation in soil chemistry.","Multispectral"
"705","UAV-mounted multispectral sensors are used to measure NDVI at centimeter resolution in heterogeneous Arctic tundra to overcome scaling bias, validate satellite products, and bridge plot-scale field data with coarse-scale remote sensing for estimating biomass and GPP.","Multispectral"
"706","A Phantom 3 Professional drone equipped with a Parrot Sequoia multispectral camera was used to detect and map native honey mesquite and non-native yellow bluestem across a rangeland site, evaluating seasonal and altitude effects on plant detection to inform treatment and eradication planning.","Multispectral"
"707","UAV-mounted multispectral and RGB sensors were used to acquire very high-resolution imagery to estimate biomass and carbon stock of native desert shrubs and monitor vegetation coverage in arid ecosystems.","Multispectral"
"708","UAV-mounted FluidCam and MiDAR instruments capture refraction-corrected 3D multispectral imagery and active multispectral reflectance (UV, visible, NIR) to monitor and analyze fine-scale ecological dynamics in shallow marine systems, especially coral reefs.","Multispectral"
"709","The study used a multi-rotor UAV carrying a multispectral camera (Airphen) to acquire imagery for monitoring wheat leaf nitrogen content (LNC) and estimating grain protein content (GPC).","Multispectral"
"710","UAV-mounted multispectral sensor used to collect spectral reflectance for constructing models to estimate water quality parameters (e.g., ammonia nitrogen, chemical oxygen demand, phosphates, suspended solids, chlorophyll a) in coastal aquaculture.","Multispectral"
"711","Repeated UAV flights with high‐resolution multispectral imagery (NDVI) were used to map and quantify vegetation impact by rodent herbivores and assess effects on productivity (GPP) and biomass at fine spatial scales.","Multispectral"
"712","The UAV (drone) equipped with multispectral optical sensors was used to acquire very-high-resolution, multi-temporal imagery over riparian habitats to map and classify individual tree species using structure-from-motion orthomosaics and machine learning.","Multispectral"
"713","UAV‐mounted multispectral imagery and LiDAR point cloud data were used to classify tree species and improve forest survey accuracy","Multispectral"
"714","UAV-based multispectral imaging was used to rapidly and non-destructively estimate aboveground biomass (AGB) and leaf area index (LAI) of mung bean and red bean in tea plantations for crop growth monitoring and site-specific management decision-making.","Multispectral"
"715","Used UAV‐based multispectral imagery to monitor onion crop vigor via SAVI and compare with satellite platforms, enabling detection of localized field inhomogeneities missed by lower‐resolution sensors.","Multispectral"
"716","UAV-based multispectral imagery is used to estimate and invert water-quality parameters (total nitrogen, total phosphorus, turbidity, algal density) for small-area urban water monitoring.","Multispectral"
"717","The drone-mounted multispectral camera was used to collect remote sensing images of the rice canopy for estimating leaf chlorophyll content (SPAD values) by extracting vegetation and texture indices across different growth stages.","Multispectral"
"718","Use of UAV-mounted multispectral imagery to derive vegetation indices (e.g., NDVI) for fine‐scale estimation and mapping of aboveground biomass in coastal wetlands, and comparison with Landsat‐based estimates.","Multispectral"
"719","Used submeter multispectral UAV imagery to assess the sensitivity of Landsat NDVI to subpixel vegetation cover and topographic heterogeneity in glacier forefields.","Multispectral"
"720","Used UAV-based multispectral imagery to monitor restored tallgrass prairie plant communities and predict ecological characteristics (plant community composition, plant traits, soil properties) through spectral indices.","Multispectral"
"721","Unmanned aerial vehicles equipped with RGB and multispectral sensors were used to replicate inspector classifications of vegetation cover on pipeline rights-of-way, augmenting the manual inspection process.","Multispectral"
"722","A UAV (drone) equipped with thermal infrared, multispectral, and LiDAR sensors was used to retrieve land surface temperature, albedo, and leaf area index for high‐resolution (0.2 m) evapotranspiration mapping to support precision agricultural irrigation and water resource management.","Multispectral"
"723","UAV-borne multispectral imaging (Parrot Sequoia camera) was used, alongside a portable Cropscan spectroradiometer, to derive NDVI and assess grassland vegetation response to rain manipulation treatments in a long-term experiment, complementing point-scale field sampling.","Multispectral"
"724","Using a UAV‐mounted multispectral and thermal infrared imaging system to estimate and map soil respiration in desertified open‐pit mining areas for carbon cycle monitoring.","Multispectral"
"725","UAV-mounted RGB and multispectral imagery were used with convolutional neural networks to identify and monitor Faxon fir distribution across seasons, evaluating and comparing sensor accuracy to optimize UAV observation timing and payloads in ecological research.","Multispectral"
"726","UAV DJI 4 equipped with a multispectral sensor was used to calculate individual tree metrics (height, crown area, tree count) and derive multispectral indices for natural forest stand mapping and monitoring vegetation activity.","Multispectral"
"727","DWCP is a mobile automated phenotyping system used to capture 3D structural and multispectral information of plant communities to monitor their morphological and physiological responses to experimental land-use treatments over time.","Multispectral"
"728","The study used unmanned aerial vehicles to acquire hyperspectral data for identifying species and content of sedimentary minerals and multispectral photos to reconstruct salt crust morphology at Lop Nur Salt Lake.","Multispectral"
"729","Small UAVs were used to acquire very high resolution multispectral imagery for evaluating vegetation health states and generating cropland maps for Capsicum annuum L.","Multispectral"
"730","UAV‐borne very‐high‐resolution multispectral imagery was used to train a supervised classification model for fine‐scale mapping of coastal dune habitats, combined with LiDAR environmental predictors to support ecosystem monitoring and habitat detection.","Multispectral"
"731","The study used an unmanned aerial vehicle (drone) equipped with multispectral imagery to generate nitrogen fertilizer application prescription maps for large-scale rice cropland, improving precision fertilization recommendations based on the optimized NFOA algorithm.","Multispectral"
"732","Use of UAV/RPAS to acquire multispectral imagery for NDVI calculation, enabling assessment of seeding failure, differentiated irrigation and fertilization for precision agriculture in small Mediterranean farms.","Multispectral"
"733","The UAV-mounted multispectral camera was used to collect imagery for NDVI calculation to monitor and assess vegetation coverage and growth on chalk soil wasteland during the growing season.","Multispectral"
"734","UAV-mounted multispectral imagery used to map wetland inundation levels, water turbidity and depth, and aquatic plant cover for ecological integrity assessment.","Multispectral"
"735","UAV-mounted multispectral remote sensing used to derive canopy height model, vegetation density, and vegetation indices for regional-scale estimation of leaf area index in an island ecosystem.","Multispectral"
"736","A drone-mounted multispectral (Sequoia) and RGB camera system was used to capture visible and near-infrared imagery for 3D vegetation mapping and classification of a coastal dune complex.","Multispectral"
"737","A UAV drone was used to capture high-resolution true‐color, multispectral imagery to map plant life‐form distributions and quantify vegetation coverage in riparian zones for environmental assessment and ecological restoration planning.","Multispectral"
"738","UAV was used to acquire imagery (rededge chlorophyll index, canopy height model) and thermal data (canopy temperature depression) to estimate alfalfa growth parameters (AGB, PWC, PH) and provide early warning of spontaneous combustion risk in a reclaimed coal waste dump.","Multispectral"
"739","A UAV (drone) equipped with a multispectral sensor was used to rapidly acquire spatially extensive post‐treatment data—including NDVI scores, blue band reflectance, and vegetation height—to evaluate the effectiveness of mechanical removal treatments on invasive Typha spp. and their impact on native plant community structure.","Multispectral"
"740","The UAV-mounted multispectral camera was used to estimate terrestrial biomass in a mangrove forest and generate biomass maps based on regression models.","Multispectral"
"741","UAV-based RGB, multispectral, and thermal infrared imagery were used to map terrain attributes (via structure-from-motion), produce accurate maps of vegetation, bare soil, and biocrust composition, calculate apparent thermal inertia (ATI) related to soil moisture, and study biocrust distribution in a dryland ecosystem.","Multispectral"
"742","The UAV (drone) acquired high-resolution multispectral imagery and LiDAR point-cloud data to extract individual shrubs and derive geometric, spectral, textural, and volumetric features for estimating and mapping aboveground biomass of encroached shrubs.","Multispectral"
"743","The drone was used to acquire high‐resolution imagery for mapping the planimetric position of marsh vegetation and monitoring seasonal vegetation health in a restored salt marsh.","Multispectral"
"744","UAV-mounted RGB and multispectral (including a near-infrared channel) imagery were used to generate 3D point clouds and models for local‐scale hedgerow condition surveys, extract structural metrics (height, width), and classify flowering abundance more effectively than traditional ground surveys.","Multispectral"
"745","A UAV-based remote sensing platform equipped with a multispectral sensor was used to collect time-series canopy reflectance data and compute vegetation indices (e.g., NDRE) for high-throughput screening of nitrogen use efficiency phenotypes in rice across developmental stages.","Multispectral"
"746","Multispectral UAV remote sensing used to ascertain species types, coverage, distribution characteristics, and identify dominant and pioneer vegetation in reservoir water level fluctuation zones for ecological restoration assessment.","Multispectral"
"747","UAV-mounted multispectral imaging was used to collect data at different flight altitudes to detect and map karst vegetation coverage and extract spectral features for machine learning–based vegetation detection.","Multispectral"
"748","A UAV platform equipped with LiDAR and multispectral sensors was used to estimate above-ground biomass (AGB) in maize via a stem–leaf separation strategy and regression modeling.","Multispectral"
"749","The study uses a UAV (drone) equipped with a multispectral sensor to collect imagery for calculating the normalized difference red edge index (NDRE) to map canopy chlorophyll content and leaf area index (LAI) in corn under different agricultural treatments.","Multispectral"
"750","A DJI unmanned aerial vehicle equipped with a multispectral camera was used to acquire monthly imagery of park vegetation cover during the growing season, enabling estimation of fractional vegetation cover for ecological monitoring and vegetation management decisions.","Multispectral"
"751","UAV-mounted multispectral imagery was used to derive vegetation indices (BNDVI, ENDVI) to quantify plant productivity and establish relationships with arthropod biomass in shrub steppes.","Multispectral"
"752","The study used a multispectral MicaSense RedEdge-M camera mounted on an unmanned aerial vehicle to map in-season growth of winter wheat via vegetation indices (notably red-edge NDVI) at multiple phenological stages, linking spatial patterns of crop growth to soil properties and grain yield heterogeneity to inform site-specific fertilizer and amendment management.","Multispectral"
"753","UAV-mounted multispectral camera (Tetracam Micro-MCA6) used, alongside structure-from-motion photogrammetry, to classify and map shrubland plant species at the species level in high-resolution ecological surveys.","Multispectral"
"754","Drones equipped with RGB and multispectral cameras were used to capture high-resolution imagery for estimating weed biomass and seed production potential from late-season weed escapes, aiding management decision making.","Multispectral"
"755","UAV-mounted multispectral sensor used to acquire vegetation indices and raw multispectral data to predict spatial variability of soil volumetric water content and electrical conductivity in agricultural fields.","Multispectral"
"756","A UAV platform fitted with multispectral cameras is used for ecological and agricultural remote sensing to model, map, and monitor vegetation phenology by calculating vegetation indices; the study focuses on systematic radiometric calibration of these multispectral images across varying flight altitudes, times, and weather conditions.","Multispectral"
"757","The UAV collects very high resolution multispectral and SAR imagery to monitor and perform object-level scene understanding of reclamation aquaculture areas using unsupervised approaches.","Multispectral"
"758","UAV-mounted multispectral imaging (RGB and R-mod bands) used to map and estimate densities of grass weeds (Alopecurus myosuroides) in wheat fields","Multispectral"
"759","Multispectral UAS imagery was used to classify and map dominant canopy tree species across key phenological stages to support sustainable management of Miombo woodlands.","Multispectral"
"760","UAV used to collect aerial imagery for digital aerial photogrammetry to generate high‐resolution DSMs of intertidal mudflats and to acquire NDVI data for modeling micro‐phytobenthos (chlorophyll a) distribution relative to topography.","Multispectral"
